2025-12-21 22:00:43.155 | INFO | __main__:199 | Booting polymarket 15m live crypto price collector
2025-12-21 22:28:00.047 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.047243+00:00', '1766330879967', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:28:00.369 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.369277+00:00', '1766330880268', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4472.39', '0.03', '27.48']
2025-12-21 22:28:00.370 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.370941+00:00', '1766330880268', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '27.48', '0.99', '4472.39']
2025-12-21 22:28:00.376 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.376622+00:00', '1766330880297', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:28:00.405 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.405272+00:00', '1766330880325', 'xrp-updown-15m', '19987762977128151022044723814913573856285405238401109525652745684235306835713', 'Up', '0.46', '32.89', '0.47', '50']
2025-12-21 22:28:00.406 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.406782+00:00', '1766330880325', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', '0.53', '50', '0.54', '32.89']
2025-12-21 22:28:00.436 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.436402+00:00', '1766330880356', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', None, None, None, None]
2025-12-21 22:28:00.780 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.780504+00:00', '1766330880699', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4496.37', '0.03', '27.48']
2025-12-21 22:28:00.781 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.781859+00:00', '1766330880699', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '27.48', '0.99', '4496.37']
2025-12-21 22:28:00.805 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.805817+00:00', '1766330880726', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:28:00.810 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.810240+00:00', '1766330880731', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4461.37', '0.03', '27.48']
2025-12-21 22:28:00.810 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.810971+00:00', '1766330880731', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '27.48', '0.99', '4461.37']
2025-12-21 22:28:00.840 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.840173+00:00', '1766330880760', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:28:00.937 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.937388+00:00', '1766330880847', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '3961.37', '0.03', '27.48']
2025-12-21 22:28:00.938 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.938714+00:00', '1766330880847', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '27.48', '0.99', '3961.37']
2025-12-21 22:28:00.961 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.961251+00:00', '1766330880881', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '3959.37', '0.03', '27.48']
2025-12-21 22:28:00.962 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.962649+00:00', '1766330880881', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '27.48', '0.99', '3959.37']
2025-12-21 22:28:00.970 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.970132+00:00', '1766330880890', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '3954.37', '0.03', '27.48']
2025-12-21 22:28:00.970 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.970895+00:00', '1766330880890', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '27.48', '0.99', '3954.37']
2025-12-21 22:28:00.978 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.978059+00:00', '1766330880895', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', None, None, None, None]
2025-12-21 22:28:00.989 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.989247+00:00', '1766330880910', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
